ダウンロード実行日,2017年08月21日現在,件数,9742件,,,,,,,,
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
E02136,内国法人・組合,上場,有,4890,3月31日,ニチユ三菱フォークリフト株式会社,"Mitsubishi Nichiyu Forklift Co., Ltd.",ニチユミツビシフォークリフトカブシキガイシャ,長岡京市東神足二丁目１番１号,輸送用機器,71050
E02138,内国法人・組合,上場,有,5252,3月31日,近畿車輛株式会社,"THE KINKI SHARYO CO.,LTD.",キンキシャリョウカブシキガイシャ,東大阪市稲田上町２丁目２番４６号,輸送用機器,71220
E02142,内国法人・組合,上場,有,605813,3月31日,日産自動車株式会社,"NISSAN MOTOR CO., LTD.",ニッサンジドウシャカブシキガイシャ,横浜市神奈川区宝町２番地,輸送用機器,72010
E02143,内国法人・組合,上場,有,40644,3月31日,いすゞ自動車株式会社,ISUZU MOTORS LIMITED,イスズジドウシャカブシキガイシャ,品川区南大井６丁目２６番１号,輸送用機器,72020
E02144,内国法人・組合,上場,有,397049,3月31日,トヨタ自動車株式会社,TOYOTA MOTOR CORPORATION,トヨタジドウシャカブシキカイシャ,豊田市トヨタ町１番地,輸送用機器,72030
E02146,内国法人・組合,上場,有,72717,3月31日,日野自動車株式会社,"HINO MORTORS,LTD.",ヒノジドウシャカブシキガイシャ,日野市日野台３丁目１番地１,輸送用機器,72050
E02147,内国法人・組合,上場,有,27647,3月31日,ＫＹＢ株式会社,KYB Corporation,ケイワイビーカブシキガイシャ,港区浜松町二丁目４番１号世界貿易センタービル,輸送用機器,72420
E02148,内国法人・組合,非上場,有,38638,12月31日,ＵＤトラックス株式会社,UD Trucks Corporation,ユーディートラックスカブシキガイシャ,上尾市大字壱丁目１番地,輸送用機器,
E02150,内国法人・組合,上場,有,7904,3月31日,日産車体株式会社,"NISSAN SHATAI CO.,LTD.",ニッサンシャタイカブシキカイシャ,平塚市堤町２番１号,輸送用機器,72220
E02152,内国法人・組合,上場,有,153795,3月31日,株式会社ＳＵＢＡＲＵ,SUBARU CORPORATION,カブシキガイシャスバル,渋谷区恵比寿一丁目２０番８号,輸送用機器,72700
E02154,内国法人・組合,上場,有,8070,3月31日,プレス工業株式会社,"PRESS KOGYO CO.,LTD.",プレスコウギョウカブシキガイシャ,川崎市川崎区塩浜１丁目１番１号,輸送用機器,72460
E02155,内国法人・組合,上場,有,7245,3月31日,株式会社ティラド,"T.RAD Co.,Ltd.",カブシキガイシャティラド,渋谷区代々木３丁目２５番３号,輸送用機器,72360
E02156,内国法人・組合,非上場,有,2331,3月31日,自動車部品工業株式会社,"Jidosha Buhin Kogyo Co., Ltd.",ジドウシャブヒンコウギョウカブシキガイシャ,海老名市上郷四丁目３番１号,輸送用機器,72330
E02157,内国法人・組合,非上場,無,1600,3月31日,カルソニックカンセイ株式会社,CALSONIC KANSEI CORPORATION,カルソニックカンセイカブシキガイシャ,さいたま市北区日進町二丁目１９１７番地,輸送用機器,72480
E02158,内国法人・組合,上場,有,1317,3月31日,東京ラヂエーター製造株式会社,"TOKYO RADIATOR MFG. CO., LTD.",トウキョウラヂエーターセイゾウカブシキガイシャ,藤沢市遠藤２００２番地１,輸送用機器,72350
E02161,内国法人・組合,上場,有,19939,3月31日,曙ブレーキ工業株式会社,"AKEBONO BRAKE INDUSTRY CO.,LTD.",アケボノブレーキコウギョウカブシキガイシャ,中央区日本橋小網町１９番５号,輸送用機器,72380
E02162,内国法人・組合,上場,有,10495,3月31日,愛三工業株式会社,"AISAN INDUSTRY CO., LTD",アイサンコウギョウカブシキガイシャ,大府市共和町一丁目１番地の１,輸送用機器,72830
E02163,内国法人・組合,上場,有,258957,3月31日,マツダ株式会社,Mazda Motor Corporation,マツダカブシキガイシャ,安芸郡府中町新地３番１号,輸送用機器,72610
E02166,内国法人・組合,上場,有,86067,3月31日,本田技研工業株式会社,"HONDA MOTOR CO., LTD.",ホンダギケンコウギョウカブシキガイシャ,港区南青山二丁目１番１号,輸送用機器,72670
E02167,内国法人・組合,上場,有,138014,3月31日,スズキ株式会社,suzuki motor corporation,スズキカブシキガイシャ,浜松市南区高塚町３００番地,輸送用機器,72690
E02168,内国法人・組合,上場,有,85797,12月31日,ヤマハ発動機株式会社,"Yamaha Motor Co., Ltd.",ヤマハハツドウキカブシキガイシャ,磐田市新貝２５００番地,輸送用機器,72720
E02169,内国法人・組合,非上場,有,500,3月31日,トーハツ株式会社,TOHATSU CORPORATION,トーハツカブシキガイシャ,板橋区小豆沢三丁目５番４号,輸送用機器,
E02170,内国法人・組合,上場,有,11899,3月31日,極東開発工業株式会社,"KYOKUTO KAIHATSU KOGYO CO.,LTD.",キョクトウカイハツコウギョウカブシキガイシャ,西宮市甲子園口６丁目１番４５号,輸送用機器,72260
E02171,内国法人・組合,上場,有,500,3月31日,株式会社ニッキ,"nikki co.,ltd",カブシキガイシャ　ニッキ,厚木市上依知３０２９番地,輸送用機器,60420
E02172,内国法人・組合,上場,有,2215,3月31日,株式会社ミクニ,MIKUNI CORPORATION,カブシキガイシャミクニ,千代田区外神田六丁目１３番１１号,輸送用機器,72470
E02174,内国法人・組合,上場,有,5821,3月31日,河西工業株式会社,"KASAI KOGYO CO .,LTD.",カサイコウギョウカブシキガイシャ,高座郡寒川町宮山３３１６番地,輸送用機器,72560
E02175,内国法人・組合,上場,有,7273,3月31日,大同メタル工業株式会社,"DAIDO METAL CO., LTD.",ダイドウメタルコウギョウカブシキガイシャ,名古屋市中区栄二丁目３番１号名古屋広小路ビルヂング１３階,輸送用機器,72450
E02176,内国法人・組合,上場,有,23335,3月31日,ＮＯＫ株式会社,NOK CORPORATION,エヌオーケーカブシキガイシャ,港区芝大門１丁目１２番１５号,輸送用機器,72400
E02178,内国法人・組合,上場,有,7020,3月31日,太平洋工業株式会社,"PACIFIC INDUSTRIAL CO.,LTD.",タイヘイヨウコウギョウカブシキガイシャ,大垣市久徳町１００番地,輸送用機器,72500
E02179,内国法人・組合,上場,有,1480,3月31日,株式会社アイメタルテクノロジー,"I Metal Technology co.,Ltd.",カブシキガイシャアイメタルテクノロジー,土浦市北神立町４番２,輸送用機器,56050
E02183,内国法人・組合,上場,有,3500,3月31日,株式会社ユニバンス,UNIVANCE CORPORATION,カブシキガイシャユニバンス,湖西市鷲津２４１８,輸送用機器,72540
E02184,内国法人・組合,上場,有,12698,3月31日,株式会社ショーワ,SHOWA CORPORATION,カブシキガイシャ　ショーワ,行田市藤原町一丁目１４番地１,輸送用機器,72740
E02189,内国法人・組合,上場,有,3791,3月31日,日鍛バルブ株式会社,"NITTAN VALVE CO.,LTD.",ニッタンバルブカブシキガイシャ,秦野市曽屋５１８番地,輸送用機器,64930
E02190,内国法人・組合,上場,有,5985,3月31日,富士機工株式会社,"Fuji Kiko Co.,Ltd.",フジキコウカブシキガイシャ,湖西市鷲津２０２８番地,輸送用機器,72600
E02194,内国法人・組合,上場,有,10064,3月31日,ユニプレス株式会社,UNIPRES CORPORATION,ユニプレス　カブシキカイシャ,横浜市港北区新横浜一丁目１９番２０号,輸送用機器,59490
E02195,内国法人・組合,上場,有,16820,3月31日,フタバ産業株式会社,"FUTABA INDUSTRIAL CO., LTD.",フタバサンギョウカブシキガイシャ,岡崎市橋目町字御茶屋１番地,輸送用機器,72410
E02196,内国法人・組合,上場,有,6932,3月31日,株式会社　ケーヒン,KEIHIN CORPORATION,カブシキガイシャ　ケーヒン,新宿区西新宿一丁目２６番２号,輸送用機器,72510
E02200,内国法人・組合,非上場,有,7460,3月31日,シロキ工業株式会社,SHIROKI CORPORATION,シロキコウギョウカブシキガイシャ,藤沢市桐原町２,輸送用機器,
E02201,内国法人・組合,上場,有,4617,3月31日,株式会社ＴＢＫ,"TBK Co.,Ltd.",カブシキガイシャティービーケイ,町田市南成瀬４－２１－１,輸送用機器,72770
E02203,内国法人・組合,上場,有,8284,3月31日,株式会社エクセディ,EXEDY Corporation,カブシキガイシャエクセディ,寝屋川市木田元宮１丁目１番１号,輸送用機器,72780
E02204,内国法人・組合,上場,有,5657,10月31日,株式会社ハイレックスコーポレーション,HI-LEX CORPORATION,カブシキガイシャハイレックスコーポレーション,宝塚市栄町一丁目１２番２８号,輸送用機器,72790
E02207,内国法人・組合,非上場,有,693,3月31日,キーパー株式会社,"KEEPER. CO., LTD.",キーパーカブシキガイシャ,藤沢市辻堂神台２丁目４番３６号,輸送用機器,
E02210,内国法人・組合,上場,有,8145,3月31日,株式会社タチエス,"TACHI-S CO.,LTD.",カブシキガイシャタチエス,昭島市松原町３丁目３番７号,輸送用機器,72390
E02213,内国法人・組合,上場,有,284382,3月31日,三菱自動車工業株式会社,MITSUBISHI MOTORS CORPORATION,ミツビシジドウシャコウギョウカブシキガイシャ,港区芝五丁目３３番８号,輸送用機器,72110
E02214,内国法人・組合,上場,有,14494,3月31日,日本精機株式会社,"NIPPON SEIKI CO.,LTD.",ニッポンセイキカブシキガイシャ,長岡市東蔵王２丁目２番３４号,輸送用機器,72870
E02216,内国法人・組合,上場,有,3206,3月31日,日本プラスト株式会社,"NIHON PLAST CO.,LTD.",ニホンプラストカブシキガイシャ,富士宮市山宮３５０７番地１５,輸送用機器,72910
E02217,内国法人・組合,上場,有,3165,3月31日,株式会社村上開明堂,MURAKAMI CORPORATION,カブシキガイシャムラカミカイメイドウ,静岡市葵区伝馬町１１番地５,輸送用機器,72920
E02219,内国法人・組合,上場,有,6200,3月31日,株式会社ヨロズ,YOROZU CORPORATION,カブシキガイシャヨロズ,横浜市港北区樽町３丁目７番６０号,輸送用機器,72940
E02221,内国法人・組合,上場,有,4175,3月31日,株式会社エフ・シー・シー,"F.C.C.CO.,LTD.",カブシキガイシャエフシーシー,浜松市北区細江町中川７０００番地の３６,輸送用機器,72960
E02223,内国法人・組合,上場,有,1637,3月31日,株式会社カーメイト,"CAR MATE MFG.CO.,LTD",カブシキガイシャカーメイト,豊島区長崎５－３３－１１,輸送用機器,72970
E02224,内国法人・組合,上場,有,3685,3月31日,八千代工業株式会社,"YACHIYO INDUSTRY CO., LTD.",ヤチヨコウギョウカブシキガイシャ,狭山市柏原３９３番地,輸送用機器,72980
E02225,内国法人・組合,上場,有,3018,3月31日,フジオーゼックス株式会社,FUJI OOZX Inc.,フジオーゼックスカブシキカイシャ,菊川市三沢１５００番地の６０,輸送用機器,72990
E02226,内国法人・組合,上場,無,2298,3月31日,株式会社イクヨ,"IKUYO CO.,LTD.",カブシキガイシャイクヨ,厚木市上依知３０１９番地,輸送用機器,72730
E02227,内国法人・組合,上場,有,2142,3月31日,株式会社安永,YASUNAGA CORPORATION,カブシキガイシャヤスナガ,伊賀市緑ヶ丘中町３８６０番地,輸送用機器,72710
E02229,内国法人・組合,上場,有,4790,3月31日,株式会社エフテック,F-TECH INC.,カブシキガイシャエフテック,久喜市菖蒲町昭和沼１９番地,輸送用機器,72120
E02230,内国法人・組合,上場,無,715,3月31日,株式会社タツミ,TATSUMI Corporation,カブシキカイシャタツミ,足利市南大町４４３,輸送用機器,72680
E02231,内国法人・組合,上場,有,6140,3月31日,株式会社今仙電機製作所,"Imasen Electric Industrial Co.,Ltd.",カブシキガイシャイマセンデンキセイサクショ,犬山市字柿畑一番地,輸送用機器,72660
E02232,内国法人・組合,上場,無,601,10月31日,エイケン工業株式会社,"EIKEN INDUSTRIES CO.,LTD",エイケンコウギョウカブシキガイシャ,御前崎市門屋１３７０,輸送用機器,72650
E02233,内国法人・組合,上場,有,903,11月30日,アスカ株式会社,ASKA CORPORATION,アスカカブシキガイシャ,刈谷市一里山町東吹戸１１番地,輸送用機器,72270
E02234,内国法人・組合,上場,有,1095,3月31日,株式会社ムロコーポレーション,MURO CORPORATION,カブシキガイシャムロコーポレーション,宇都宮市清原工業団地７ー１,輸送用機器,72640
E02235,内国法人・組合,上場,有,3694,3月31日,日信工業株式会社,"NISSIN KOGYO CO.,LTD.",ニッシンコウギョウカブシキガイシャ,東御市加沢８０１番地,輸送用機器,72300
E02236,内国法人・組合,上場,有,1754,3月31日,株式会社ユタカ技研,"YUTAKA GIKEN CO.,LTD.",カブシキガイシャユタカギケン,浜松市東区豊町５０８番地の１,輸送用機器,72290
E02237,内国法人・組合,上場,有,2973,3月31日,武蔵精密工業株式会社,"MUSASHI SEIMITSU INDUSTRY CO.,LTD.",ムサシセイミツコウギョウカブシキガイシャ,豊橋市植田町字大膳３９番地の５,輸送用機器,72200
E02238,内国法人・組合,上場,有,878,8月31日,株式会社エッチ・ケー・エス,"HKS CO.,LTD.",カブシキガイシャ　エッチ　ケー　エス,富士宮市上井出２２６６番地,輸送用機器,72190
E02239,内国法人・組合,非上場,有,100,3月31日,プリヴェ企業再生グループ株式会社,"Privee Turnaround Group Co., Ltd.",プリヴェキギョウサイセイグループカブシキガイシャ,港区六本木六丁目１０番１号,輸送用機器,
E02241,内国法人・組合,上場,有,500,3月31日,田中精密工業株式会社,"TANAKA SEIMITSU KOGYO CO.,LTD.",タナカセイミツコウギョウカブシキガイシャ,富山市新庄本町二丁目７番１０号,輸送用機器,72180
E02242,内国法人・組合,上場,有,217,3月31日,株式会社テイン,"TEIN,INC.",カブシキガイシャテイン,横浜市戸塚区上矢部町３５１５－４,輸送用機器,72170
